C_AR;C_ARINSEE;Neighborhood;N_SQ_CO;SURFACE;PERIMETRE;Latitude;Longitude
1;75101;1st arrondissement;750001537;1824612.86;6054.936862;48.8625627;2.336443362
2;75102;2nd arrondissement;750001537;991153.7447;4554.10436;48.86827922;2.342802547
3;75103;3rd arrondissement;750001537;1170882.828;4519.263648;48.86287238;2.360000986
4;75104;4th arrondissement;750001537;1600585.632;5420.908434;48.85434143;2.35762962
5;75105;5th arrondissement;750001537;2539374.623;6239.195396;48.84444315;2.35071461
6;75106;6th arrondissement;750001537;2153095.586;6483.686786;48.84913036;2.332897999
7;75107;7th arrondissement;750001537;4090057.185;8099.424883;48.85617443;2.312187691
8;75108;8th arrondissement;750001537;3880036.397;7880.533268;48.87272084;2.312554022
9;75109;9th arrondissement;750001537;2178303.275;6471.58829;48.87716352;2.337457543
10;75110;10th arrondissement;750001537;2891739.442;6739.375055;48.87613004;2.360728488
11;75111;11th arrondissement;750001537;3665441.552;8282.011886;48.85905922;2.380058308
12;75112;12th arrondissement;750001537;16314782.64;24089.6663;48.83497438;2.421324901
13;75113;13th arrondissement;750001537;7149311.091;11546.54653;48.82838803;2.36227244
14;75114;14th arrondissement;750001537;5614877.309;10317.48331;48.8292445;2.326542044
15;75115;15th arrondissement;750001537;8494994.081;13678.79831;48.84008538;2.292825822
16;75116;16th arrondissement;750001537;16372542.13;17416.10966;48.86039211;2.261970788
17;75117;17th arrondissement;750001537;5668834.504;10775.57952;48.88732652;2.306776991
18;75118;18th arrondissement;750001537;5996051.308;9916.464176;48.89256927;2.34816052
19;75119;19th arrondissement;750001537;6792651.129;11253.18248;48.887076;2.38482096
20;75120;20th arrondissement;750001537;5983446.037;10704.94049;48.86346058;2.401188129
